Date,Price,Open,High,Low, Vol. ,Change %
04-08-24,1.1172,1.091,1.1297,1.0546,"  7,590,000.00 ",2.35%
04-07-24,1.0916,1.0666,1.1016,1.0626,"  6,370,000.00 ",2.25%
04-06-24,1.0676,1.0386,1.0809,1.0308,"  4,720,000.00 ",2.78%
04-05-24,1.0387,1.0746,1.0762,1.0006,"  9,250,000.00 ",-3.38%
04-04-24,1.075,1.0478,1.1133,1.0161,"  12,200,000.00 ",2.56%
04-03-24,1.0482,1.0715,1.1136,1.02,"  14,830,000.00 ",-2.04%
04-02-24,1.07,1.1355,1.136,1.0341,"  16,750,000.00 ",-6.09%
04-01-24,1.1394,1.2214,1.259,1.0919,"  18,210,000.00 ",-6.84%
03-31-24,1.223,1.2089,1.2301,1.1987,"  7,110,000.00 ",1.12%
03-30-24,1.2095,1.2255,1.2456,1.196,"  7,470,000.00 ",-1.27%
03-29-24,1.2251,1.2812,1.2867,1.2045,"  9,460,000.00 ",-4.35%
03-28-24,1.2808,1.2526,1.2947,1.2205,"  11,610,000.00 ",2.30%
03-27-24,1.252,1.2671,1.3225,1.2242,"  18,260,000.00 ",-1.22%
03-26-24,1.2675,1.2637,1.3494,1.2473,"  16,520,000.00 ",0.34%
03-25-24,1.2632,1.2108,1.2945,1.2033,"  12,340,000.00 ",4.34%
03-24-24,1.2107,1.1886,1.2205,1.1645,"  8,090,000.00 ",1.83%
03-23-24,1.189,1.2143,1.2333,1.1813,"  9,580,000.00 ",-2.08%
03-22-24,1.2143,1.2538,1.3213,1.177,"  18,650,000.00 ",-3.27%
03-21-24,1.2553,1.2213,1.2807,1.1827,"  18,130,000.00 ",2.69%
03-20-24,1.2224,1.0816,1.2399,1.021,"  25,030,000.00 ",12.78%
03-19-24,1.0839,1.1544,1.1709,1.0005,"  35,860,000.00 ",-6.14%
03-18-24,1.1548,1.278,1.29,1.1342,"  19,490,000.00 ",-9.77%
03-17-24,1.2799,1.234,1.2971,1.1561,"  21,860,000.00 ",4.06%
03-16-24,1.23,1.3151,1.3983,1.1851,"  30,540,000.00 ",-6.40%
03-15-24,1.3141,1.3894,1.403,1.1674,"  41,380,000.00 ",-5.23%
03-14-24,1.3866,1.4197,1.4307,1.3054,"  29,440,000.00 ",-2.27%
03-13-24,1.4188,1.4779,1.501,1.3946,"  22,190,000.00 ",-4%
03-12-24,1.4779,1.4913,1.516,1.3542,"  35,740,000.00 ",-0.87%
03-11-24,1.4908,1.4311,1.6045,1.3797,"  53,630,000.00 ",4.24%
03-10-24,1.4302,1.4924,1.5521,1.3903,"  39,150,000.00 ",-4.08%
03-09-24,1.491,1.3476,1.5882,1.3442,"  56,770,000.00 ",10.61%
03-08-24,1.348,1.4279,1.4536,1.2617,"  32,840,000.00 ",-5.26%
03-07-24,1.4229,1.3339,1.49,1.3147,"  52,490,000.00 ",6.55%
03-06-24,1.3354,1.1772,1.3914,1.154,"  45,160,000.00 ",13.41%
03-05-24,1.1775,1.2577,1.3389,1.015,"  60,490,000.00 ",-6.18%
03-04-24,1.255,1.3316,1.3449,1.2211,"  40,840,000.00 ",-5.72%
03-03-24,1.3312,1.3534,1.3993,1.262,"  42,010,000.00 ",-1.57%
03-02-24,1.3525,1.3966,1.4091,1.3224,"  28,600,000.00 ",-3.19%
03-01-24,1.3971,1.2949,1.4096,1.29,"  35,320,000.00 ",7.98%
02-29-24,1.2938,1.3264,1.4282,1.2509,"  47,260,000.00 ",-2.57%
02-28-24,1.3279,1.4257,1.4319,1.175,"  68,560,000.00 ",-6.91%
02-27-24,1.4264,1.4986,1.5125,1.4024,"  39,560,000.00 ",-4.74%
02-26-24,1.4974,1.5306,1.5815,1.4666,"  47,720,000.00 ",-2.07%
02-25-24,1.5291,1.4566,1.5975,1.4233,"  52,370,000.00 ",5.12%
02-24-24,1.4546,1.4739,1.478,1.352,"  41,460,000.00 ",-0.85%
02-23-24,1.467,1.2948,1.5143,1.2894,"  90,710,000.00 ",13.40%
02-22-24,1.2937,1.3593,1.3593,1.2486,"  48,220,000.00 ",-4.90%
02-21-24,1.3604,1.4415,1.4662,1.2838,"  79,480,000.00 ",-5.40%
02-20-24,1.438,1.2833,1.4453,1.2048,"  89,730,000.00 ",12.14%
02-19-24,1.2823,1.155,1.3945,1.1517,"  116,290,000.00 ",11.03%
02-18-24,1.1549,0.9728,1.1976,0.9665,"  99,910,000.00 ",18.74%
02-17-24,0.9726,1.0053,1.0099,0.9241,"  30,200,000.00 ",-3.13%
02-16-24,1.004,1.0239,1.0585,0.9647,"  32,920,000.00 ",-2.01%
02-15-24,1.0246,1.0753,1.0917,0.9961,"  41,760,000.00 ",-4.61%
